Date,Title,Description,Duration,Links,Places
2025-04-12,How much is a human life worth?,"What is the cash value of a human life?
That’s the question at the heart of The Price of Life, a book by journalist Jenny Kleeman.
It turns out that there’s not just one price, there are many - depending on exactly how that life is being created, traded or destroyed.
Tim Harford talks to Jenny about what she discovered.
Presenter: Tim HarfordProducer: Tom CollsProduction co-ordinator: Brenda BrownSound mix: Neil ChurchillEditor: Richard Vadon",9 minutes,https://www.bbc.co.uk/programmes/p0l3wcn7,[]
2025-04-04,Trump tariffs: All about the deficits,"US President Donald Trump has announced sweeping tariffs on global trade, adding taxes of as much as 50% to imports from some countries.
The tariffs, he says, are “reciprocal” – calculated to address currency manipulation and trade barriers that other countries place on the US.
However, when you look at how the new tariffs were actually calculated, that claim does not add up.
Tim Harford speaks to Thomas Sampson, an associate professor at the London School of Economics, to understand what is going on.
Presenter: Tim HarfordProducers: Lizzy McNeill and Nathan GowerSeries producer: Tom CollsProduction co-ordinator: Brenda BrownSound mix: Neil ChurchillEditor: Richard Vadon",9 minutes,https://www.bbc.co.uk/programmes/p0l2j7d1,"['US', 'US']"
2025-04-02,Is one in four people in the UK disabled?,"Donald Trump is raising tariffs on Canada, but has his northern neighbour done anything to deserve them?
In her Spring Statement, Chancellor Rachel Reeves announced that the UK’s fiscal “headroom” was, again, £9.9bn. We explore this curious coincidence.
Is it true that one in four people in the UK is disabled? And what does that mean for the state of our workforce?
Tim Harford investigates some of the numbers in the news.
Presenter: Tim HarfordReporter: Lizzy McNeillProducer: Nathan GowerSeries producer: Tom CollsProduction co-ordinator: Brenda BrownSound mix: James BeardEditor: Richard Vadon",27 minutes,https://www.bbc.co.uk/programmes/p0l1qbfb,"['Canada', 'UK', 'UK']"
2025-03-29,What’s Trump’s problem with Canada?,"Neighbours, everybody needs good neighbours, and since the end of the Second World War that’s exactly what the US and Canada have been. They’ve enjoyed free trade agreements, close knit economic ties - and not so friendly ice hockey matches.
But recently this relationship has soured, with President Trump calling them “one of the nastiest countries to deal with”. It looks like the era of mostly free trade is over, with a raft of tariffs set to come into force on April the 2nd, or “liberation day” a Donald Trump calls it.
But is President Trump right about the trading relationship between the two countries? What does he mean when he claims that “the US subsidises Canada $200 billion a year”?
Presenter: Tim HarfordProducer: Lizzy McNeillSeries Producer: Tom CollsEditor: Richard VadonProduction co-ordinator: Katie MorrisonStudio manager: Andrew Mills",9 minutes,https://www.bbc.co.uk/programmes/p0l1069n,"['US', 'Canada', 'US', 'Canada']"
2025-03-26,Could a 2% wealth tax raise £24bn?,"Some Labour politicians have been calling for a wealth tax, claiming a 2% tax could raise £24bn. Where are the numbers from and do they add up?
A listener asked why housing in the UK is the oldest in Europe. We explain what’s going on.
The Office for National Statistics has changed how it measures the value of pensions and knocked £2 trillion off its estimates of wealth. Not everyone thinks it was a good change. We find out why.
And Lent is here, but how long is the Christian fasting period? We look at the history of a very flexible 40 days.
Tim Harford investigates some of the numbers in the news, and the world around us.
Presenter: Tim HarfordReporter: Lizzy McNeillProducers: Nathan Gower and Charlotte McDonaldSeries producer: Tom CollsProduction co-ordinator: Gemma AshmanSound mix: Gareth JonesEditor: Richard Vadon",29 minutes,https://www.bbc.co.uk/programmes/p0l09td8,"['UK', 'Europe', 'Christian', 'Charlotte']"
2025-03-22,What are the chances of an asteroid hitting earth in 2032?,"On 27 December 2024, astronomers spotted an asteroid that was potentially heading towards earth.
Named 2024 YR4, it was estimated to be between 40m and 90m across, with the potential to cause massive damage if it hit a populated area of the planet.
The chances of that happening, however, seemed to fluctuate significantly - ranging from 1% to a peak of 3%, before falling to virtually zero.
Tim Harford investigates what was going on, with the help of Davide Farnocchia, a navigation engineer at NASA’s Jet Propulsion Laboratory.
Presenter: Tim HarfordProducer: Lizzy McNeillSeries producer: Tom CollsProduction co-ordinator: Brenda BrownSound Mix: Hal HainesEditor: Richard Vadon",9 minutes,https://www.bbc.co.uk/programmes/p0kzlsrg,[]
2025-03-19,Why are more people claiming disability benefits?,"More working age people are claiming disability benefits. What's driving the trend?
Is it true that the UK imprisons more people for their social media posts than Russia does?
One of the country’s most important data sources has been falling apart. We find out why.
Tim Harford investigates some of the numbers in the news.
Presenter: Tim HarfordReporter: Lizzy McNeillProducer: Nathan GowerSeries producers: Charlotte McDonald and Tom CollsProduction co-ordinator: Brenda BrownSound mix: James BeardEditor: Richard Vadon",29 minutes,https://www.bbc.co.uk/programmes/p0kyydsp,"['UK', 'Russia']"
2025-03-17,How did lockdown impact children?,"In March 2020, the covid pandemic forced the UK into lockdown. Schools closed, universities went online and the economy shut down.
It slowly became clear that young people were not falling victim to the virus in significant numbers - they made up a fraction of a percent of the overall death toll.
But their lives were radically changed - most spending these formative ages stuck at home as the pandemic raged. Politicians and academics worried about the long term impact this would have on their chances in life.
Five years on, Tim Harford delves into the data to try to work out what we can say with confidence about the effect of the lockdown on the children and young adults who lived through it.
On questions of education levels, job prospects and mental health, what story does the best evidence show us?
Presenter: Tim HarfordProducer: Tom CollsProduction co-ordinator: Brenda BrownSound mix: Nigel AppletonEditor: Richard Vadon",42 minutes,https://www.bbc.co.uk/programmes/p0ky87qk,['UK']
2025-03-15,What is an IQ map and can we trust them?,"You may have seen a map circulated on social media that claims to show the average IQ of different nations.
If you look closely these numbers vary dramatically, with incredibly low scores in developing countries, including many in Africa.
Unsurprisingly the map is often used as a way to bolster arguments about racial or national superiority.
However, when you look at the data behind the claims the whole thing falls apart. We dive into the methods behind the map and ask whether it’s even possible to accurately put a number on intelligence.
Presenter: Charlotte McDonaldProducer: Lizzy McNeillSeries Producer: Tom CollsEditor: Richard VadonStudio Manager: James BeardProduction Co-Ordinator: Brenda Brown",9 minutes,https://www.bbc.co.uk/programmes/p0ky8xm3,"['Africa', 'Charlotte']"
2025-03-12,"DOGE, apples and irregular migrants","It’s been 12 weeks since President Trump announced the formation of DOGE, the so-called department of Government efficiency. We fact-check various claims connected with the drive to route out inefficiency. Listeners asked us to investigate the claim that 1 in 12 Londoners is an illegal immigrant. We look into the claim that imported New Zealand apples have a smaller carbon footprint than British grown apples. Plus - did VAT on private schools really boost the rate of inflation, or was that just a media concoction?
Presenter: Tim HarfordSeries Producer: Charlotte McDonaldProducers: Lizzy McNeill, Nathan Gower and Josh McMinnSound Mix: Rod FarquharEditor: Richard VadonProduction Co-Ordinator: Brenda Brown",29 minutes,https://www.bbc.co.uk/programmes/p0kxs3ql,"['New Zealand', 'British', 'Charlotte']"
