Date,Title,Description,Duration,Links
2025-04-12,How much is a human life worth?,What is the cash value of a human life?,9 minutes,https://www.bbc.co.uk/programmes/p0l3wcn7
2025-04-04,Trump tariffs: All about the deficits,"US President Donald Trump has announced sweeping tariffs on global trade, adding taxes of as much as 50% to imports from some countries.",9 minutes,https://www.bbc.co.uk/programmes/p0l2j7d1
2025-04-02,Is one in four people in the UK disabled?,"Donald Trump is raising tariffs on Canada, but has his northern neighbour done anything to deserve them?",27 minutes,https://www.bbc.co.uk/programmes/p0l1qbfb
2025-03-29,What’s Trump’s problem with Canada?,"Neighbours, everybody needs good neighbours, and since the end of the Second World War that’s exactly what the US and Canada have been. They’ve enjoyed free trade agreements, close knit economic ties - and not so friendly ice hockey matches.",9 minutes,https://www.bbc.co.uk/programmes/p0l1069n
2025-03-26,Could a 2% wealth tax raise £24bn?,"Some Labour politicians have been calling for a wealth tax, claiming a 2% tax could raise £24bn. Where are the numbers from and do they add up?",29 minutes,https://www.bbc.co.uk/programmes/p0l09td8
2025-03-22,What are the chances of an asteroid hitting earth in 2032?,"On 27 December 2024, astronomers spotted an asteroid that was potentially heading towards earth.",9 minutes,https://www.bbc.co.uk/programmes/p0kzlsrg
2025-03-19,Why are more people claiming disability benefits?,More working age people are claiming disability benefits. What's driving the trend?,29 minutes,https://www.bbc.co.uk/programmes/p0kyydsp
2025-03-17,How did lockdown impact children?,"In March 2020, the covid pandemic forced the UK into lockdown. Schools closed, universities went online and the economy shut down.",42 minutes,https://www.bbc.co.uk/programmes/p0ky87qk
2025-03-15,What is an IQ map and can we trust them?,You may have seen a map circulated on social media that claims to show the average IQ of different nations.,9 minutes,https://www.bbc.co.uk/programmes/p0ky8xm3
2025-03-12,"DOGE, apples and irregular migrants","It’s been 12 weeks since President Trump announced the formation of DOGE, the so-called department of Government efficiency. We fact-check various claims connected with the drive to route out inefficiency. Listeners asked us to investigate the claim that 1 in 12 Londoners is an illegal immigrant. We look into the claim that imported New Zealand apples have a smaller carbon footprint than British grown apples. Plus - did VAT on private schools really boost the rate of inflation, or was that just a media concoction?",29 minutes,https://www.bbc.co.uk/programmes/p0kxs3ql
2025-03-08,Is there really $500bn of Rare Earths in Ukraine?,"As part of the fast-moving argument over US military support to Ukraine, the US demanded $500bn worth of access to what was variously reported as Ukraine’s rare earths or rare metals or rare minerals. But is there that amount of minerals in the ground?",9 minutes,https://www.bbc.co.uk/programmes/p0kwvfrl
2025-03-05,"Defence Spending, Rare Earths and Trunk Truths",Has the US really sent Ukraine $350 billion for its war effort? Is a $500billion cut of Ukraine’s rare earth minerals a good deal? How will the UK fund the governments ambitions to raise defence spending to 3%? But most important of all - how many muscles are in an elephant’s trunk?,29 minutes,https://www.bbc.co.uk/programmes/p0kw26dl
2025-03-01,Has the US really given Ukraine more aid than Europe?,"As negotiations to end the Ukraine war rumble on, Donald Trump seems equally interested in talking about the past, repeatedly claiming that the US has given much more aid to Ukraine than Europe has, and that Europe’s aid took the form of a loan that they’ll be getting back.",9 minutes,https://www.bbc.co.uk/programmes/p0kvbp3y
2025-02-22,Are 150 year olds getting social security payments?,Last week Elon Musk revealed that he had been through the Social Security Agencies database and found millions of people aged over 100.,9 minutes,https://www.bbc.co.uk/programmes/p0kssmgb
2025-02-15,Has the US sent $50 million worth of condoms to Gaza?,"On the 25th January, the US Press Secretary announced that in their bid to stop ‘fraud’ and waste DOGE had cancelled $50 million worth of condoms being sent to Gaza by the United States Agency for International Development (aka USAID).",9 minutes,https://www.bbc.co.uk/programmes/p0krbdgz
2025-02-08,Are black babies in the US really more likely to die under the care of white doctors?,Babies born in the US to Black Hispanic or African American mothers are more likely to die than any other ethnic group in America.,9 minutes,https://www.bbc.co.uk/programmes/p0kpvkvr
2025-02-01,Are quantum computers already super-powerful?,Google claim their latest quantum computer chip is able to process something in five minutes it would take a normal computer 10 septillion years to figure out.,9 minutes,https://www.bbc.co.uk/programmes/p0kncxv4
2025-01-25,Did Trump make billions with his meme-coin?,"Just before being inaugurated as US president for the second time, Donald Trump launched something called a “meme-coin”.",9 minutes,https://www.bbc.co.uk/programmes/p0klwmqy
2025-01-18,Can redheads handle 25% more pain than brunettes?,What has the colour of your hair got to do with your capacity to withstand pain?,9 minutes,https://www.bbc.co.uk/programmes/p0kkfqyx
2025-01-11,Do 79% of Swedish asylum seekers go on holiday to the country they fled from?,"The claim that 79% of asylum seekers in Sweden go on holiday in their home country has been repeated regularly on social media. It’s used to argue that recent refugees are being disingenuous about the danger they face in the country they have fled from. But when you look at the survey the claim is based on, you see the stat in a very different way. We speak to Hjalmar Strid, who ran the survey for polling company Novus, and Tino Sanandaji from Bulletin, the online news site which published it.",9 minutes,https://www.bbc.co.uk/programmes/p0khx6s2
